summary,city,state,date_time,shape,duration,text,city_latitude,city_longitude
Revolving light seen under moon two nights in a row.,Laguna Hills,CA,2004-01-09 23:00:00,light,"6 hours, 2 nights","Revolving light seen under moon two nights in a row. Bright lite object seen below the full moon in the same place both 01-09-04 and 01-10-04.  Viewed with a telescope and binoculars.  Several smaller lights were seen near the main light.  The object appeared to be revolving and appeared to have a beam of light coming from one end. The object appeared to have a slightly green/blue triangular shape.  It appeared to move back and forth, up and down but never drastically.  Also, on 01-09-04 about 4 gray objects appeared to come out of it.  It became visible about 11 PM both nights, but 01-10-04 it seemed to be a little closer.  When viewed with a telescope it appeared as a white orb, no detail, but definately is not a star. ((NUFORC Note:  We suspect the witness may have been looking at Sirius, although that is only a guess.  PD))",33.58965,-117.7008125
stationary line of white pulsing lights,Laguna Hills,CA,2007-07-17 19:00:00,rectangle,5 minutes,"While heading East on Alicia Pkwy from the intersection of Moulton / Alicia towards the intersection of Paseo De Valencia / Alicia I could see a stationary line of white pulsing lights which appeared to be hovering over Saddleback Mountain. From my perspective the object was quite far away 15-20 miles and seemed to be very large considering its distance about the size of a grain of rice at arms distance. Roughly 5-7 white pulsing lights in a row, each of which were the same size, and seemed considerably large and bright. The object maintained its position for roughly 5 minutes and suddenly disappeared. First becoming a single, distant red light, then gone from sight completely. ((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))",33.58965,-117.7008125
rectangle shape object flying over laguna hills going at a slow speed and dissapearing after a short time.,Laguna Hills,CA,2008-04-03 23:50:00,rectangle,2 minutes,"rectangle shape object flying over laguna hills going at a slow speed and dissapearing after a short time. On Thursday April 3rd 2008 at approximately 11:50pm as I was driving home with my mom and girl friend, I notice a light in the sky moving at a slow pace.  I stopped the car right away and pointed the object to my mom and girl friend.  I knew right away that it was not a plane nor a helicopter.  The object was like a rectangle shape with a light at the bottom.  The object was going south parallel to the 5 freeway that goes to San Diego.  At the time of the sighting, it was passing over Laguna Hills Ca.  I rushed home and told my girl friend to get the camera while i waited outside the house and observed the object.  The only thing that we were able to see on the video since it was dark, is a small light moving.",33.58965,-117.7008125
((HOAX??))  IT IS OVER MISSION VIEJO AT THIS VERY MOMENT.,Laguna Hills,CA,2008-11-19 23:54:00,triangle,6 MIN,IT IS OVER MISSION VIEJO AT THIS VERY MOMENT. IT FLEW OVER LAGUNA HILLS VERY LOW AND HAD NO NOISE. IT WAS TRIANGULAR SHAPED AND HAD 3 MAIN LIGHTS AND THEN SOMETIMES IT CHANGED TO 5 LIGHTS. IT WAS MOVING SLOW AND IT HAS APPEARED TO HAVE STOPPED MOVING AND IS HOVERING OVER THE MISSION VIEJO AREA. IT IS IN THE SKY RIGHT NOW AT 11.54 PM. ((NUFORC Note:  Date is flawed we have corrected it.  We cannot certify that this was submitted as a serious-minded report.  PD)),33.58965,-117.7008125
V-Shaped low Flying Aircraft with many Red and Green Bright Lights fly 20 ft over my car.,Laguna Hills,CA,2011-11-24 00:01:00,triangle,1 minute,"V Shaped low Flying Aircraft with many Red and Green Bright Lights fly 20 ft over my car. I was driving home in the suburbs of Laguna Hills, Ca on a usually busy street, but not at 12.am. I make a left from my current street and head my ascent up a large winding quarter mile hill. As I put my foot on the gas I notice an object over head, pretty high in the sky, about 50 degrees up from my horizon. This object was red on one side and green on the other, but from a far away distance it just looked like a red and green small blob moving across the sky in a sweeping flying motion. As I neared the middle of the distance of the long street, the flying object went out of view and basically just disappeared. I don’t know of many helicopters or planes that visible or low at midnight but ill just pass it off as a normal sight. I just ignored the sighting until all of a sudden at least 20 feet above my car there was a huge v like aircraft. This aircraft was about 10 ft long side to side and had a series of about 20 large square lights from side to side on the front of the V which was facing me.  The lights on one side were green and the other 10 or so extremely bright lights were red on the other side.  Once I saw this I swear my stomach dropped and I floored my car.  All I knew was that this wasn’t any toy plane at midnight or anything else I have ever seen.  This object flew over my car in the opposite direction I was going.  As I looked above over my steering wheel I could see the lights so distinctly like it was burned into the back of my eyes.  As I quickly drove off I could see it distinctly behind me until I got to a good observation point above the small city less than 20 seconds later.  It was gone. If anyone had similar experiences, please tell, or tell me what I saw.  Thanks",33.58965,-117.7008125
Starlike object observed.,Laguna Hills,CA,2016-07-07 21:47:00,circle,2:59 seconds,"Starlike Object Observed I was completing a report to the MUFON web site regarding an object that was caught on my vehicle's dash cam and wife's cell phone on June 16, 2016.  While near completion of the report, my wife called me outside to observe 2 objects. She told me 1st object was moving very rapidly across the sky while the 2nd object was moving more slowly.  By the time I got outside I couldn't find the 1st object but I did see the 2nd object. It was moving from west to east, was reddish/white in color, and was a little larger than a star.  I ran back inside the house grabbing my Sony 8mm night vision camcorder.  I was able to record approximately 2:50 of footage of the object.  My camera did have difficulty focusing on the object so it does go in/out of focus however, I did manage some good footage of it.  The footage appears black/white/greenish due the night vision mode so the colors we observed will not be visible.  I converted the 8mm tape to a digital format so that it can be available for online viewing and uploading. Eventually, it disappeared into the night sky as it continued eastward. We did not hear any noise during the entire observation.  My family has observed similar objects near our residence the past few months.  I personally have seen strange objects in the sky, once on the ground, most of my life but this represents the 1st time I have made efforts to record them. ((ADDENDUM FROM WITNESS)) Hello - This is a follow up regarding a report I made to NUFORC today.  This event occurred on July 7, 2016.  I am providing a link to my unlisted YouTube channel where the footage can be viewed.  As I mentioned in my report, I converted the 8mm tape to digital format for viewing purposes. https://www.youtube.com/watch?v=LMonYzCv4XY  (I named the footage Thursday because that is the day of the observation) Kind regards, ((name deleted))",33.58965,-117.7008125
Orange light seen. In the blink of an eye it disappeared. It returned and kept shrinking. Disappeared again. ((anonymous report)),Laguna Hills,CA,2019-08-18 21:45:00,circle,30,"Orange light seen.  In the blink of an eye, it disappeared.  It returned and kept shrinking. Disappeared again.  Came back one more time and then disappeared permanently. ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD))",33.58965,-117.7008125
Red lights were going inside two red crafts,Laguna Hills,CA,2020-11-11 16:13:00,circle,13 minutes,"Red lights were going inside two red crafts. Red lights were in the sky circling for 13 minutes, started moving, then disappeared.",33.58965,-117.7008125
"It lasted for 13 minutes, moved and then disappeared",Laguna Hills,CA,2020-11-11 16:13:00,circle,13 minutes,"It lasted for 13 minutes, moved and then disappeared. It was 6 red lights hovering the sky.",33.58965,-117.7008125
"fast, unusual light movement",Laguna Hills,CA,2008-12-27 20:30:00,diamond,3 min,"fast, unusual light movement Dimond shape (bright white dot)object moved fast in the sky(compared to air plane), changing trajectory.  At some view the red dot appears together with white diamond.  It looks like this object changed the altitude and direction.  No noise at this distance (I can roughly estimate as 1 or few miles) was heart.",33.58965,-117.7008125
Slow moving yellow-white lights over South Orange County.,Laguna Hills,CA,2010-11-11 23:30:00,other,5-7 min,"Slow moving yellow-white lights over South Orange County. Myself with two friends notice a pair of white-yellow lights moving in the sky. At first we assumed it was a jet aircraft, but did not notice any other white or red lights flashing as would on a normal aircraft. There was also no sound following the object, so we then assumed it was possibly a stealth jet. But we then realized that the object was moving entirely too slow to be any type of jet aircraft we are aware of. The lights seemed to be moving east/southeast until it took a turn more south. At that point of turning, more lights appeard above and around the original pair of lights. These flashing lights were primarliy red/orange. The lights were now far in the distance, but we were able to track its movement for at least 5 minutes from when we first noticed it until a house got in our way. It seemed as though it had originated from behind our location from watching its directional movement, meaning it could have flown directly overhead, or we would have had a much closer look had we noticed it sooner. We were standing in the neighborhood of Nellie Gail, where there are many large homes. This home was towards the top of a hill, so we were able to get a good sight from the street where we were standing. We moved out of the street light once we'd noticed the object and with that light out of our eyes, we were able to see how slow the object was really moving.",33.58965,-117.7008125
2 goups of 20+ haphazardly-moving spheres or obs circulating around each other,Laguna Hills,CA,2012-11-04 12:50:00,sphere,3 minutes,"2 goups of 20+ haphazardly-moving spheres or obs circulating around each other 2 groups of several spheres or orbs rotating around each other in a haphazard circular pattern.  These appeared to be a flock of birds at first, but a closer look revealed no apparent wings or wing-based flying motion and there also appeared to be a metallic quality visible as they turned into their circle.  The objects were circulating around in an unorganized 'follow-my-leader' kind of manner.   I ruled-out a bird formation when the circular motion appeared to be around a minimally-moving general axis tending towards a north-westerly direction.   There appeared to be 2 groups of these spheres/orbs - 1 group over the general area of Lake Forest and 1 closer west to the 5-Freeway.    As traffic progressed I was unable to keep constant eye contact and could not see the spheres in their general direction some 3 or 4 minutes later.",33.58965,-117.7008125
"Broad fiery path of object moving at high rate of speed, very high in sky.",Laguna Hills,CA,2009-01-18 17:30:00,fireball,3 seconds,"Broad fiery path of object moving at high rate of speed, very high in sky. Bright burning object traveling west to east high in eastern sky visible from South Orange County, CA. Wide fiery path of fast moving object lasted approximately 3 seconds just before sundown.",33.58965,-117.7008125
Pulsating orb appears over houses and draws police attention.,Laguna Hills,CA,2010-04-26 19:45:00,fireball,3 minutes,"Pulsating orb appears over houses and draws police attention. My son was outside when he ran in to tell me that he saw a UFO outside of our house.  Out of skepticism, I went out to see what he claimed to be a bright pulsating light going up and down towards the sky.  While waiting to see what he described this light appeared out of the tree line north of our location and began to go up and down, and at times side to side while at the same time getting brighter at times as if it was getting closer to our location and then backing away as it dimmed.  I captured this on my cell phone for about a minute and a half until it drop down towards the ground as a police helicopter approached and circled the same area for about 15 minutes afterward.  This was no helicopter or airplane in the sky that we all saw.  The way it zipped back and forth, no known aircraft can do that.  I was amazed that nothing was reported on the local news agency regarding this sighting because of the length of exposure and the obvious dispatch of the police helicopter to investigate this sighting.",33.58965,-117.7008125
"At approximately 21:45, my cat insisted that something was at the door. I picked the cat up in my arms to placate him and walked outsid",Laguna Hills,CA,2012-07-06 21:45:00,fireball,3 minutes,"At approximately 21:45, my cat insisted that something was at the door. I picked the cat up in my arms to placate him and walked outside.  We walked out and as showing him the surroundings and that nothing was there, looking east  I noticed a very slow silent orange, almost red, fireball ascend slowly. It resembled a perfectly round fireball without sparks and ascended into very high altitude, compared to a horizon and commercial aircraft seen 30 minutes after the incident. I called for my mother who is 68 and she saw it as well. I have seen launches from Vandenberg and the color spectrum is way off. I have never seen an object go straight up so smooth, slow and HIGH and then drop for a second and disappear. I am reporting it because I can't explain it's behavior as a firework , a tracer, flare or aircraft ( absolutely silent). Would love some answers.",33.58965,-117.7008125
It was clear day i was sitting when i noticed 5 bubble like things in the sky within 10 seconds there were 50 bubble like things they c,Riverbank,CA,2019-09-29 11:36:00,circle,6 minutes,It was clear day i was sitting when i noticed 5 bubble like things in the sky within 10 seconds there were 50 bubble like things they came from every direction   i watched for two minutes before i remembered i had my phone.  i couldn't tell if i was getting the objects because of the glare on my screen so sorry about the moving.,37.7308,-120.9382
Saw strange red grey orb that looked like wizard of Oz white whitch then it grew to the size of baseball.,Riverbank,CA,2016-02-10 05:23:00,cross,7 minutes,Saw strange red grey orb that looked like wizard of Oz white whitch then it grew to the size of baseball 1 foot from me and a craft appeared in the middle of the orb (cloud)  as the craft became more visible the orb dissipated n a portal like light beam came off it downward looked like tornado of light of portal opening  it then hovered toward me n as it got close it went west and it faded out n dissappeared,37.7308,-120.9382
"Skyquake Central Valley, California",Riverbank,CA,2003-12-16 11:45:00,other,10 seconds,"Skyquake Central Valley, California Skyquake.  Loud, concussion,  from in the air.   Felt from here to Modesto, CA.  Eight miles away. This is just the first I have heard about this. Everyone on my block felt this.",37.7308,-120.9382
2 or more UFO's on video at sunrise,Bloomington,CA,2011-12-16 06:00:00,unknown,4 minutes,"2 or more UFO's on video at sunrise The security camera in the driveway recorded what appear to be at least 2 or more unidentified flying objects.  It was an especially windy morning and the sun was just rising. About the camera: The camera self-adjusts to color from night to day.  The camera is a Sony PTZ but I couldn’t zoom in any farther as the camera is in a fixed location I can only zoom to the center of that view.  The camera is facing east.  I can only save whole minutes of video to the Lorex HD/system.  Sorry for the long wait before it actually starts. The UFO’s seem to be coming in straight towards the camera, which is facing east, and also recede in the same direction from whence it/they came.  From the video it seems that first there is one UFO and then another just pops into view at 06:01:52. There may be more than 2 objects.  It’s really difficult to tell as the wind keeps blowing the tree branches which partly obscure the view towards the end.  I don’t believe these objects to be planets. So, basically UFO appears from the east and then another UFO slowly comes into the view just to the left of the first one.  Then the first one is not really visible when a UFO suddenly pops into view again just to the left of the second one.  Then possibly the first and second one merges.  It's hard to tell if one is just behind the other or if it has merged with it instead or left altogether.  All then seem to come a bit closer before finally receding in the same direction that it/they came from. There is an airport, Ontario International (ONT), in nearby Ontario but the flight airways are more to the right/south coming in over Riverside.  Also, airplanes don't stay in one place as these objects did.  While helicopters can hover in place these objects do not fit the shape and made no sound.  At any rate I didn't notice any red or green lights that aircraft are required to have. I'm above average intelligence and not prone to making things up.  The video is 128mb avi file format.",34.0662,-117.3993
light formation in san bernardino  ((NUFORC Note:  Probable advertising light.  PD)),Bloomington,CA,2003-08-16 23:00:00,formation,an hour,"light formation in san bernardino my friend and I were on agua mansa and we were talking about how the air felt weird, eeire... and there were 3 lights that were moving around in big circle formation-uniform speed and it seemed like when they crossed paths their lights would get brighter and kind of more compact-at first they were softer looking...but got brighter and more intense with each circular rotation(all 3 went in opposite directions, but  joined together at one point...at least one light was kind of blue and one was yellowish.) We watched them for an hour...I got a picture, but you can't really tell what it is because it looks so small. We also had a tape recorder going and it seems to be going crazy with staticy electricity...it even totally stops for an unknown period of time ((NUFORC Note:  Date is approximate.  We suspect that the witnesses may have observed an advertising light, and that the display may have had nothing to do with the difficulty the witness was having with the tape recorder.  PD))",34.0662,-117.3993
"Sighting by about 10 persons aged 6-50, orange redish pulsating globes, southern california",Bloomington,CA,2010-05-16 00:01:00,formation,10 minutes,"Sighting by about 10 persons aged 6-50, orange redish pulsating globes, southern california There were a few of us present for this sighting as we’d been gathered all day for my cousin’s baby shower and were outside in the process of saying our good-byes when the sighting occurred.  Present were: Myself, 28, stay home mom of two, Softball/Baseball coach, umpire, and player My Husband – 30, Installation Technician/Manager 7+ yrs My children – ages 3 and 6, 6 yr old in Kindergarten and one of the top students in class, perfect                  attendance My brother – 19, college student Cousin – 25, Warehouse worker, college student Cousin’s girlfriend – 22, 9 months pregnant with first child Girlfriend’s brother and cousin – 23 & 25, males, background unknown My Aunt – early 50’s, preschool teacher 10+ yrs, Devout Christian  My cousin and I were outside at approximately midnight PST on the evening of 5/15/2010 turning into 5/16/2010. We observed about 12-13 much larger than stars size circles that looked like glowing, orange, pulsating globes. As we watched them float slowly towards each other into a pattern, he went inside to get the others present. Within seconds there was about 10 of us, ranging from my youngest of 3 years, and oldest of 6 years, to my brother, 19, my cousin and his friends and girlfriend, ranging from 19-25, then myself, 28, my husband, 30, and my aunt, early 50's. 	As we all stood in my aunt’s front yard we observed a few of the lights just disappear. The remaining lights began to move into a formation of a straight line, each equally spaced apart. They were moving from right to left across the sky at this point. This happened in Bloomington, CA as we were looking I would say South/South East and watched the lights move I’d say North East. 	There was no noise. There were no other crafts in the sky in that area at that time or for any time after. After the lights assembled in their line and proceeded in formation, all but one of the lights disappeared. Just poof, gone. No fading, twinkling, or anything similar. Just gone. One final light remained that slowly started moving South/South East away from us. But it wasn’t just away from us. It was up. And I mean way up. It almost started going literally straight up into the air into space it seemed from where it had been. It lost its “Glow” but still had a very distinct light to it, and was easy to follow as it disappeared into the heavens. 	My son spoke of how scary the experience was, but he truly doesn’t understand, as neither do we, what truly happened. We've also submitted photos we were able to get plus a picture my 6 year old drew to the website.",34.0662,-117.3993
"While driving home in Bloomington, we turned westbound on Jurupa from Locust Ave.  I noticed a green light in the sky directly in front",Bloomington,CA,2006-11-04 21:20:00,light,3 seconds,"While driving home in Bloomington, we turned westbound on Jurupa from Locust Ave.  I noticed a green light in the sky directly in front of us in the sky.  At first I assumed that it was a plane since I only seen it at a glance and since Ontario Airport is so nearby.  Figured I seen the plane as it was turning and only seen the green and not the red lights to signify port and starboard.  After a brief 1-1.5 seconds the light moved westbound in a quick motion leaving behind a bright green streak of light.  This speed was too fast to be a plane, jet or helicopter.  First assumption than was a shooting star however the fact that it was stationary when first seen and green leads my wife and I to assume it was something else.  Please post any comments if there were other witnesses.  I have seen number shooting stars in the past all were white to a yellowish color this was solid green and the streak left behind was very wide more like a strip.",34.0662,-117.3993
Larger craft dropping off smaller crafts that lingered for over 5 hours.,Bloomington,CA,2010-03-26 00:00:00,light,5 hours,"Larger craft dropping off smaller crafts that lingered for over 5 hours. I first saw a strange light in the sky that very much looked like an approaching helicopter.  It caught my attention because it was orange, where usual helicopters have a white glow.  I stared at it for a few seconds and then it started dropping smaller white lights, and my first reaction was that it was dropping bombs.  I didnt think it was a UFO at this point, I thought it was an army helicopter or other army aircraft.  I left my room to go get my moms camera and returned with her and the camera only to find that the mysterious orange light was gone.  I looked throughout all the windows in the house, it was nowhere in sight.  I thought about it and brushed it off as a helicopter dropping flares because it was the only logical explanation I could come up with.  This was at approximately midnight on March 27, 2010. About an hour later, I woke up and my window was still open.  It was then I saw that the smaller crafts that were dropped were all clustered and flying around in unusual patterns in the North West sky out of my window.  I looked at them for four hours and couldn't figure it out.  I'm positive that they were what came out of the orange glowing craft.  They would fly diagonally, horizontally, vertically, and make turns that couldn't possibly be made by any aircraft here on Earth.  I seen them appear from point A to point B.  There was no trace of light as they flew because it was so fast.  They, like the orange UFO, were silent.  I watched them from 1:00 AM to about 5:00 AM then I thought I had enough and shut the blinds and tried to sleep.  I didn't see when, or if, they left, but I did hear a loud and unusually low jet fly by a little before sunset that woke me up.  I checked, and didn't see them anymore after that. The orange UFO was high in the open sky, and the white smaller ones were unusually lower than the mountain range that is outside my window.  Both the crafts looked like simple circular lights.  It was an extremely windy night so the sky was clear. I don't see how I could be the only one to see this, I'm sure others seen it as well.  It lasted for hours.  My moms camera and my phone couldn't focus on the objects, so no pictures came out that would show anything.",34.0662,-117.3993
7 red lights in a V formation,Bloomington,CA,2020-06-24 21:40:00,light,2 minutes,7 red lights in a V formation There were 7 red light in a “V” formation. They suddenly appeared and did not move for a few seconds. When I pointed them out they started to shift.  It was like if I was looking at a screen and they went to the bottom right corner but it was a very slow shift.  The lights weren’t over head they were in the air but it was like facing me.  I was in my front yard and across the street from me is a palm tree nursery/farm so when they moved to the corner I had to get closer to look at where they went and they just kinda faded out.,34.0662,-117.3993
ORANGE OVAL LIGHT WITH RED LIGHT ORBITING ORANGE LIGHT. . .,Bloomington,CA,2000-12-11 00:01:00,oval,25 seconds,"ORANGE OVAL LIGHT WITH RED LIGHT ORBITING ORANGE LIGHT. . . IT WAS A CLOUDY NIGHT, MY MOM HAD JUST RETURNED FROM WORK. AS SHE ENTERED THE GARAGE SHE SAW AN ORANGE LIGHT. SHE CAME WOKE ME AND TOLD ME TO COME QUICK. WE STOOD OUTSIDE AND I SAW AN ORANGE OVAL LIGHT AND A RED LIGHT ORBITING THE ORANGE LIGHT, THE UFO MOVED QUICK IN ZIG ZAG MOTION HEADING SOUTH AND WENT UP ABOVE THE CLOUDS AND DISAPEARED. . .ONE MORE THING, WHILE I WAS ASLEEP MY STEREO TURNED ON BY IT'S SELF THIS OCCURED BEFORE THE SIGHTING.",34.0662,-117.3993
"disk with red and blue lights, wobbly, rubbery appearance in movement",Santa Margarita,CA,2007-11-02 23:00:00,disk,few minutes,"disk with red and blue lights, wobbly, rubbery appearance in movement Three of us were in a car driving at 11pm. There were low clouds. We looked up into the sky and saw an object that seemed to be roundish, but it had a rubbery quality to it, as if you would take a dinner plate and wobble it. The object had red and blue lights, and I seem to recall seeing yellow at one point. The object hovered. When our car turned I tried to find the object again, and could not see it.  It was hard to tell how close it was to us, or how large it was, but from our perspective it did not seem to be very large. It was not a helicopter or anything we’d ever seen before.",35.3584,-120.2596
A bright disk that was unmoving.,Santa Margarita,CA,2021-04-10 20:09:00,disk,Don't know,A bright disk that was unmoving. We didn't see it in person with our own eyes. We only saw it through the phone camera.  It was white with bright lights on underneath.  The picture was while we were eating dinner at night.,35.3584,-120.2596
red lignt,Santa Margarita,CA,2002-11-09 02:00:00,circle,1 minute,red lignt I was living out on a 650 acre cattle ranch & taking my puppy out to potty when I looked up I saw a red circular light that looked like a shooting star falling down.  It was dropping down but then stopped & appeared to go back up & drop down again.  I didn't put too much thought into it & didn't want to be up all night frightened as I was there all alone.,35.3584,-120.2596
"2 bright white-cricle lights that changed shapes under a cloud, before dusk (clear sky).  ((NUFORC Note:  Rocket launch.  PD))",Santa Margarita,CA,2017-12-22 17:00:00,circle,3-5 minutes,"2 bright white-cricle lights that changed shapes under a cloud, before dusk (clear sky). Driving El. Camino Real westward towards Santa Margarita, CA. (approx. 4 miles away from town) during a busy traffic after work. Nearing dusk, clear bright darken blue sky with a noticeable large white cloud (west) that was a form of a circle with an opening in the middle with light-faded cloud beams coming out of it, below were 2-small very bright circles that seem to move/change shapes that got my attention to pull my car over and take pictures and a video.   After viewing the photos with enlargement, I can see the different formations that start as a circle, flattens out in a rectangle, and then to crescent shaped with opposite directions.  1-disappears before the other.  The large cloud appeared approx. 10 mins longer after the shapes were gone. ((NUFORC Note:  Rocket launch from Vandenberg AFB @ 5:26 p.m..  PD))",35.3584,-120.2596
"we were driving north on hwy 101 from san luis obispo to atascadero, when from the west came a ufo traveling east, passing over the h",Santa Margarita,CA,1985-10-01 21:30:00,other,2 !/2  min.,"we were driving north on hwy 101 from san luis obispo to atascadero, when from the west came a ufo traveling east, passing over the hwy approximatly three tellaphone lengths off the ground. It was shaped more like a stop sighn (an octagone) with lights that borderd its edges we slambed on the breakes pulled off to the right hand side of the road ran up a small hill and watched as it took off threw the hills over creston, it made no sound what so ever. when we got home I called and reported it to the national defence department in washington d.c. I never heard anything back after that, they probably just got a nice laugh about it, Oh well, It did happen. i did in the last box. full description in last box",35.3584,-120.2596
"I was driving home late one night from the city of Diamond Bar, when I noticed a very bright light in the sky. I thought it might be la",Irvine,CA,1993-07-07 23:00:00,disk,A minute or two,"I was driving home late one night from the city of Diamond Bar, when I noticed a very bright light in the sky. I thought it might be landing lights of an aircraft, but it just hovered in the air. The shape was disk or saucer shaped, and it appeared in the horizontal orientation- like a flat oval. The light became very bright- like arc welding or a flash of lightning when all of a sudden, the object shot off at the speed of light at I would say about a 45 degree angle. It was much faster than any aircraft known to man. Although it did rise straight up slightly, it definitely was not a Harrier. I also experienced a loss of time and location. I do not know if the actual date is correct or even the city in which it occurred. I think others may have pulled over on the freeway to see it. I have always accepted the idea of other intelligent life forms in our galaxy or elsewhere in outerspace. The incident only strengthened my belief in UFO's and extraterrestrials. I have since had a(n) experience(s) that I  thought I was under a very bright, hot light and individuals were examining me and making strange noises. I have also had episodes since then of seeing imagery of everyday scenes when my eyes are shut that appear holigraphic and 3-D. I don't know what this is, but some tell me it's called remote viewing. This may or may not have anything to do with my UFO sighting, but my guess is it does.",33.6790729013254,-117.790111192931
Great gift idea for posters on this board...,Irvine,CA,2005-09-21 10:14:00,disk,2 minutes,Great gift idea for posters on this board... Saw this on Hop-on web page this morning and thought it might be of interest to posters on this board...  http://hop-on.com/Merchant2/merchant.mvc?Screen=PROD&Store_Code=HWS&Product_Code=RCUFO ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD)),33.6790729013254,-117.790111192931
close encounters looking and very close it hovered and moved in abnormal directions.,Irvine,CA,2007-02-24 21:00:00,disk,20+ min,"close encounters looking and very close it hovered and moved in abnormal directions. My husband a I were driving down Irvine Bvld. at 9:50 pm and made a right on jefferey.  Thats when we saw it at around 30 to 50 above our car.It was a disc/saucer thing with lights that moved around the outer edege and it whizzed past us without a sound.We pulled over as well as others to see whats was going on.It hovered over a field moving side to side making a low humming vibrarion.At this point it was maybe 3 to 400 feet away,it then turned vertically and shot toward the sky.then once again  went horzontal and started moving in a triangle formation . at that point my husband who I might mention is a commerical pilot said maybe we should call someone.All of a sudden this thing dropped like a falling star towards the earth and stopped within feet of the ground, hovered still vertical,and then righted itself and started moving side to side once again.we thought it was maybe kids playing a prank but now having thought about it more we are not sure what happened that night on a dark road.",33.6790729013254,-117.790111192931
Disk-Like object  with lights west of John Wayne Airport,Irvine,CA,2007-10-13 22:40:00,disk,<1 minute,"Disk-Like object  with lights west of John Wayne Airport Disk like object darting up and down in the sky. It would go side to side, gently turn and dart back up to the sky. I often watch the airplanes leave John Wayne Airport, and this was the approximate size of average passenger plane. It had lights evenly spaced along sides. The whole experience was strange, but what seemed odd to me is it darted toward the ground and disappeared beyond a hill approxametly over Costa mesa/Santa Ana.",33.6790729013254,-117.790111192931
Extended Duration of UFO Sighting  ((NUFORC Note:  Sighting caused by model airplane.  PD)),Irvine,CA,2008-10-09 21:46:00,disk,00:45,"Extended Duration of UFO Sighting ((NUFORC Note:  We are grateful to the witness for the report, and we commend him for his having been able to determine what the cause of the sighting was.  Please see below.  PD)) From 9:46PM until 10:22PM, 2 unidentified objects were witness by myself seemingly dancing in the cloud covered night skies.  These 2 objects were circular, with lights ringing the outside perimeter of their circumference.  Their movement was eratic, ranging from hovering, to then quickly darting about while flipping and rotating. As the objects flipped in abrupt directional changes, the top of the disk appeared to be a dark metallic.  The lights surrounding the craft would ocassionally flash brightly.  It appeared as if the objects were ringed with 8 white lights, and 1 larger red one which by watching the movements of the objects, would indicate being the 'front'. The objects were visible this entire time just barely under the low slung clouds.  They would dart in and out of the cloud cover, and then stay for extended periods below the clouds.  It appeared that their relative distance from the observers did not change that much, only altitude. Photos will be forthcoming. Observers were:  Myself:  Corporate President My Girlfriend:  Mathematics Teacher  (Irvine High School) Neighbor:  Custom Home Developer Neighbors Wife 2 Visiting Relatives of Neigbors 1 Other new neighbor, apprx 25 yrs of age, name and occupation unknown ((ADDENDUM FROM WITNESS)) Apparently, this report is in all likelihood a false alarm.  I called the Irvine Police Dept and they stated that there is a local resident that conducts experiments from time to time that have in the past generated similar reports of UFO's.  They continued to state that he normally reports in first, before conducting these experiments, but that tonight he did not.  However, the are reasonably certain that this is probably the source of our observations. Given the late hour, I will not press my neighbors to compile the photos and video tonight, however, will retain the information awaiting you verification of this mundane event.  If for any reason this was not what actually happened, all materials will be available for you. Thanks!",33.6790729013254,-117.790111192931
